id,friendly name,link
11617,Ally Capellino,https://www.asos.com/women/a-to-z-of-brands/ally-capellino/cat/?cid=11617
14304,Alpha 60,https://www.asos.com/women/a-to-z-of-brands/alpha-60/cat/?cid=14304
8742,Ameko,https://www.asos.com/women/a-to-z-of-brands/ameko/cat/?cid=8742
11926,Alpha Industries,https://www.asos.com/women/a-to-z-of-brands/alpha-industries/cat/?cid=11926
15265,AM Eyewear,https://www.asos.com/women/a-to-z-of-brands/am-eyewear/cat/?cid=15265
21114,Amelia Rose,https://www.asos.com/women/a-to-z-of-brands/amelia-rose/cat/?cid=21114
13871,American Apparel,https://www.asos.com/women/a-to-z-of-brands/american-apparel/cat/?cid=13871
13696,American Gold,https://www.asos.com/women/a-to-z-of-brands/american-gold/cat/?cid=13696
15591,American Vintage,https://www.asos.com/women/a-to-z-of-brands/american-vintage/cat/?cid=15591
13820,AMO by Tom Binns,https://www.asos.com/women/a-to-z-of-brands/amo-by-tom-binns/cat/?cid=13820
14708,B Store,https://www.asos.com/women/a-to-z-of-brands/b-store/cat/?cid=14708
11761,ASOS WHITE,https://www.asos.com/women/a-to-z-of-brands/asos-white/cat/?cid=11761
20767,Amoralia,https://www.asos.com/women/a-to-z-of-brands/amoralia/cat/?cid=20767
6791,b.tempt'd,https://www.asos.com/women/a-to-z-of-brands/btemptd/cat/?cid=6791
15937,b+ab,https://www.asos.com/women/a-to-z-of-brands/bab/cat/?cid=15937
29911,Veet,https://www.asos.com/women/a-to-z-of-brands/veet/cat/?cid=29911
4096,Babycham,https://www.asos.com/women/a-to-z-of-brands/babycham/cat/?cid=4096
28308,Holika Holika,https://www.asos.com/women/a-to-z-of-brands/holika-holika/cat/?cid=28308
15221,ba&sh,https://www.asos.com/women/a-to-z-of-brands/bash/cat/?cid=15221
50982,Michael Kors Fragrances,https://www.asos.com/women/a-to-z-of-brands/michael-kors-fragrances/cat/?cid=50982
13587,Baggu,https://www.asos.com/women/a-to-z-of-brands/baggu/cat/?cid=13587
16173,Badlands,https://www.asos.com/women/a-to-z-of-brands/badlands/cat/?cid=16173
